club_name,name_code
Aston Villa,ASV
Bournemouth,BOU
Brentford,BRE
Burnley,BUR
Chelsea,CHE
Crystal Palace,CRY
Everton,EVR
Fulham United,FUL
Ipswich Town,IPS
Leeds United,LEE
Leicester City,LEI
Liverpool,LIV
Luton,LUT
Manchester City,MC
Manchester United,MU
Newcastle,NEW
Nottingham Forest,NFO
Sheffield United,SHE
Southampton,SOU
Tottenham Hotspur,TOT
Watford,WAT
West Bromwich,WB
West Ham United,WHU
Wolves,WOL
Bayer Leverkusen,BL
Bayern Munich,BM
Borussia Dortmund,BD
Borussia M̦nchengladbach,BMG
Eintracht Frankfurt,EF
RB Leipzig,RBL
VfL Wolfsburg,VW
Athletic Club Bilbao,ACB
Atletico Madrid,ATM
Barcelona,FCB
Malaga,MAL
Real Betis,RB
Real Madrid,RM
AC Milan,ACM
Fiorentina,FIO
AS Roma,ROM
Inter Milan,INT
Juventus,JUV
Lazio,LAZ
Napoli,NAP
Monaco,MON
OGC Nice,NIC
Olympique Marseille,OM
Paris Saint Germain,PSG
Al Hilal,AH
Al Nassr,AN
Inter Miami,IM
Belgium,BEL
Croatia,CRO
Denmark,DEN
England,ENG
France,FRA
Germany,GER
Italy,ITA
Netherlands,NED
Norway,NOR
Poland,POL
Portugal,POR
Scotland,SCO
Spain,ESP
Turkey,TUR
Wales,WAL
USA,USA
Mexico,MEX
Argentina,ARG
Brazil,BRA
